CPU Time;Module;Clockticks;Instructions Retired;CPI Rate;Light Operations;Heavy Operations;Front-End Latency;Front-End Bandwidth MITE;Front-End Bandwidth DSB;(Info) DSB Coverage;(Info) DSB Misses;Bad Speculation;Back-End Bound;Average CPU Frequency;Function (Full);Source File;Start Address
0.00180723;ntoskrnl.exe;5400000;0;;0;0;0;0;0;0;0;0;1;2.988e+09;ExIsResourceAcquiredExclusiveLite;[Unknown];0x1402f60c0
0.00722892;ntoskrnl.exe;5400000;0;;0;0;0;0;0;0;0;0;0;7.46999e+08;ExIsResourceAcquiredSharedLite;[Unknown];0x140233860
0;kernelbase.dll;1800000;0;;0;0;0;0;0;0;0;0;1;;ExpandEnvironmentStringsW;[Unknown];0x180039be0
0.0243976;ntoskrnl.exe;37800000;18000000;2.1;0.238095;0.582012;0;1;0;0;0;0;1;1.54933e+09;ExpInterlockedPopEntrySList;[Unknown];0x1404078b0
0.011747;ntoskrnl.exe;16200000;16200000;1;0.5;1;0;0;0;0;0;0;1;1.37908e+09;ExpInterlockedPushEntrySList;[Unknown];0x1404078f0
0;ntoskrnl.exe;1800000;0;;0;0;0;0;0;0;0;0;1;;ExQueryDepthSList;[Unknown];0x140347090
0.000903615;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;ExReleaseAutoExpandPushLockShared;[Unknown];0x1402f8c90
0.00271085;ntoskrnl.exe;5400000;1800000;3;0.166667;0;0;0;0;0;0;1;0;1.992e+09;ExReleaseCacheAwarePushLockSharedEx;[Unknown];0x14022def0
0.000903615;ntoskrnl.exe;1800000;0;;0;0;0;0;0;0;0;0;1;1.992e+09;ExReleaseFastMutex;[Unknown];0x14022c560
0.0171687;ntoskrnl.exe;19800000;34200000;0.578947;0.863636;0;0;0;0;0;1;1;0;1.15326e+09;ExReleasePushLockEx;[Unknown];0x14022e7d0
0.0370482;ntoskrnl.exe;57600000;77400000;0.744186;;;;;;0;;;;1.55473e+09;ExReleasePushLockExclusiveEx;[Unknown];0x14022e060
0.00722892;ntoskrnl.exe;7200000;9000000;0.8;0.625;0;0;0;0;0;0;1;0;9.95999e+08;ExReleasePushLockSharedEx;[Unknown];0x14022c500
0.0135542;ntoskrnl.exe;10800000;7200000;1.5;;;;;;0;;;;7.96799e+08;ExReleaseResourceAndLeaveCriticalRegion;[Unknown];0x1402309d0
0.0108434;ntoskrnl.exe;21600000;10800000;2;0.25;0;0;0;0;0;0;0;1;1.992e+09;ExReleaseResourceLite;[Unknown];0x14022ed50
0.000903615;ntoskrnl.exe;3600000;1800000;2;0.25;0;0;0;0;0;0;0;0;3.984e+09;ExReleaseRundownProtection;[Unknown];0x140303d20
0.00632531;ntoskrnl.exe;5400000;12600000;0.428571;1;1;0;0;0;0;0;0;1;8.53714e+08;ExReleaseRundownProtectionCacheAwareEx;[Unknown];0x1402e2580
0;ntoskrnl.exe;0;1800000;0;;;0;0;0;0;0;0;1;0;ExReleaseSpinLockExclusiveFromDpcLevel;[Unknown];0x14021cf10
0.00451808;ntoskrnl.exe;1800000;7200000;0.25;1;0;0;0;0;0;0;0;1;3.984e+08;ExTryAcquirePushLockExclusiveEx;[Unknown];0x1402b6bf0
0.00993977;ntoskrnl.exe;23400000;25200000;0.928571;0.538462;0.786327;0;0;0;0;0;0;1;2.35418e+09;ExTryAcquirePushLockSharedEx;[Unknown];0x1402f7dc0
0.00722892;kernelbase.dll;7200000;14400000;0.5;1;0;0;0;0;0;0;0;1;9.95999e+08;FlsGetValue;[Unknown];0x180058760
0;kernelbase.dll;0;5400000;0;;;0;0;0;0;0;0;1;0;FlsSetValue;[Unknown];0x18004de50
0;fltmgr.sys;0;1800000;0;;;0;0;0;0;0;0;1;0;FltAcquirePushLockExclusiveEx;[Unknown];0x1c000be30
0.000903615;fltmgr.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;FltAllocateExtraCreateParameterList;[Unknown];0x1c0042470
0;fltmgr.sys;0;1800000;0;;;0;0;0;0;0;0;1;0;FltGetEcpListFromCallbackData;[Unknown];0x1c003a170
0;fltmgr.sys;0;1800000;0;;;0;0;0;0;0;0;1;0;FltGetFileNameInformation;[Unknown];0x1c0004110
0.000903615;fltmgr.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;FltGetInstanceContext;[Unknown];0x1c000ae30
0.000903615;fltmgr.sys;0;1800000;0;;;0;0;0;0;0;0;1;0;FltGetStreamContext;[Unknown];0x1c0003d90
0.000903615;fltmgr.sys;1800000;3600000;0.5;1;0;0;0;0;0;0;0;1;1.992e+09;FltGetStreamHandleContext;[Unknown];0x1c0003be0
0.000903615;fltmgr.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;FltReleaseContext;[Unknown];0x1c0009c80
0.000903615;fltmgr.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;FltReleaseFileNameInformation;[Unknown];0x1c003ae90
0;fltmgr.sys;0;1800000;0;;;0;0;0;0;0;0;1;0;FltRemoveOpenReparseEntry;[Unknown];0x1c003e9f0
0.00180723;ucrtbase.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;fputc;[Unknown];0x18001b590
0.000903615;ucrtbase.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;fputc_nolock;[Unknown];0x18001abc0
0;ucrtbase.dll;1800000;0;;0;0;0;0;0;0;0;0;1;;free;[Unknown];0x18000f020
0.000903615;kernelbase.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;FreeLibrary;[Unknown];0x18001c1e0
0;ntoskrnl.exe;0;1800000;0;;;0;0;0;0;0;0;1;0;FsRtlAcknowledgeEcp;[Unknown];0x1406a0380
0.000903615;ntoskrnl.exe;1800000;0;;0;0;0;0;0;0;0;0;1;1.992e+09;FsRtlAcquireHeaderMutex;[Unknown];0x14022c9b0
0.000903615;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;FsRtlAllocateExtraCreateParameterFromLookasideList;[Unknown];0x14068a6c0
0.00271085;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;FsRtlAreNamesEqual;[Unknown];0x1402f6140
0.000903615;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;FsRtlCheckOplockEx2;[Unknown];0x1402361b0
0.000903615;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;FsRtlCheckOplockForFsFilterCallback;[Unknown];0x1405ce900
0;ntoskrnl.exe;0;1800000;0;;;0;0;0;0;0;0;1;0;FsRtlDoesNameContainWildCards;[Unknown];0x14034aff0
0.000903615;ntoskrnl.exe;1800000;1800000;1;0.5;0;0;0;0;0;0;0;1;1.992e+09;FsRtlFindExtraCreateParameter;[Unknown];0x140619270
0;ntoskrnl.exe;1800000;0;;0;0;0;0;0;0;0;0;1;;FsRtlGetFileSize;[Unknown];0x140703b30
0;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;FsRtlInsertExtraCreateParameter;[Unknown];0x1406ee5f0
0.000903615;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;FsRtlLookupBaseMcbEntry;[Unknown];0x1403022b0
0;ntoskrnl.exe;1800000;0;;0;0;0;0;0;0;0;0;1;;FsRtlLookupPerFileObjectContext;[Unknown];0x140302180
0.000903615;ntoskrnl.exe;3600000;0;;0;0;0;0;0;0;0;0;0;3.984e+09;FsRtlLookupPerStreamContextInternal;[Unknown];0x14022d8e0
0.000903615;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;FsRtlNumberOfRunsInBaseMcb;[Unknown];0x140203a30
0;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;FsRtlOplockIsFastIoPossible;[Unknown];0x140695fb0
0;ntoskrnl.exe;1800000;0;;0;0;0;0;0;0;0;0;1;;FsRtlReleaseEofLock;[Unknown];0x1402dde20
0;ntoskrnl.exe;0;1800000;0;;;0;0;0;0;0;0;1;0;FsRtlReleaseHeaderMutex;[Unknown];0x14022c480
0.000903615;dbghelp.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;func@0x1030087da;[Unknown];0x1030087da
0;dbghelp.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;func@0x103008c10;[Unknown];0x103008c10
0;dbghelp.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;func@0x103008f18;[Unknown];0x103008f18
0;dbghelp.dll;1800000;0;;0;0;0;0;0;0;0;0;1;;func@0x103009310;[Unknown];0x103009310
0.000903615;dbghelp.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;func@0x10300aa80;[Unknown];0x10300aa80
0.000903615;dbghelp.dll;1800000;3600000;0.5;1;0;0;0;0;0;0;0;1;1.992e+09;func@0x10300b140;[Unknown];0x10300b140
0.000903615;dbghelp.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;func@0x10300b5e0;[Unknown];0x10300b5e0
0;dbghelp.dll;1800000;0;;0;0;0;0;0;0;0;0;1;;func@0x10300b8ab;[Unknown];0x10300b8ab
0;dbghelp.dll;1800000;0;;0;0;0;0;0;0;0;0;1;;func@0x10300c5cc;[Unknown];0x10300c5cc
0.000903615;dbghelp.dll;0;3600000;0;;;0;0;0;0;0;0;1;0;func@0x10300c830;[Unknown];0x10300c830
0.000903615;dbghelp.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;func@0x10300d638;[Unknown];0x10300d638
0;dbghelp.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;func@0x10300dadc;[Unknown];0x10300dadc
0.000903615;dbghelp.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;func@0x10300daf0;[Unknown];0x10300daf0
0;dbghelp.dll;1800000;1800000;1;0.5;0;0;0;0;0;0;0;1;;func@0x10300db40;[Unknown];0x10300db40
0.000903615;dbghelp.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;func@0x103010300;[Unknown];0x103010300
0.000903615;dbghelp.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;func@0x103010320;[Unknown];0x103010320
0.00813254;dbghelp.dll;7200000;18000000;0.4;1;0;0;0;0;0;0;0;1;8.85333e+08;func@0x1030135f0;[Unknown];0x1030135f0
0.00271085;dbghelp.dll;19800000;21600000;0.916667;0.545455;0;0;0;0;0;0;0;1;7.30399e+09;func@0x103014030;[Unknown];0x103014030
0;dbghelp.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;func@0x103016550;[Unknown];0x103016550
0.000903615;dbghelp.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;func@0x103016b84;[Unknown];0x103016b84
0.00271085;dbghelp.dll;3600000;5400000;0.666667;0.75;0;0;0;0;0;0;0;1;1.328e+09;func@0x103016e20;[Unknown];0x103016e20
0;dbghelp.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;func@0x103017022;[Unknown];0x103017022
0.011747;dbghelp.dll;14400000;64800000;0.222222;0.097219;0;0;0;0;0;0;0;1;1.22585e+09;func@0x1030170c0;[Unknown];0x1030170c0
0.00542169;dbghelp.dll;5400000;0;;0;0;0;0;0;0;0;0;1;9.95999e+08;func@0x103017bc0;[Unknown];0x103017bc0
0;dbghelp.dll;1800000;3600000;0.5;1;0;0;0;0;0;0;0;1;;func@0x103017be3;[Unknown];0x103017be3
0.000903615;dbghelp.dll;1800000;0;;0;0;0;0;0;0;0;0;1;1.992e+09;func@0x103017c00;[Unknown];0x103017c00
0;dbghelp.dll;3600000;1800000;2;0.25;0;0;0;0;0;0;0;1;;func@0x103017c1f;[Unknown];0x103017c1f
0.000903615;dbghelp.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;func@0x103017d68;[Unknown];0x103017d68
0;dbghelp.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;func@0x10301be48;[Unknown];0x10301be48
